#{"t_start": 1763845434.2315786, "env_id": "None"}
r,l,t
-5.285,15,162.267004
3.905,55,162.459781
4.545,23,162.539252
-5.465,24,162.615272
-5.61,31,162.714497
4.44,28,162.806606
3.68,66,163.031264
-5.405,21,163.100391
4.85,8,163.128673
4.62,19,163.188777
3.49,76,163.4349
4.86,7,163.457335
-6.36,68,166.05417
-5.155,8,166.080067
-5.345,18,166.139584
-6.275,64,166.356375
4.85,8,166.381969
4.33,34,166.488899
-6.305,66,166.717613
-5.32,16,166.769884
-5.26,13,166.810658
-6.355,68,167.034024
-5.45,23,167.112907
3.625,69,167.343477
4.435,29,167.441757
4.365,32,167.54937
-5.215,11,167.585292
3.91,55,167.76635
-5.52,26,167.850357
4.83,9,167.883108
4.53,24,167.963791
-5.265,14,168.01021
4.445,28,168.100434
-5.465,24,168.183689
-6.055,53,168.355695
-5.33,17,168.409523
3.64,68,168.640773
-5.955,48,168.798378
3.7,65,169.011226
-5.365,19,169.081208
-5.52,26,169.165767
4.005,50,169.330792
-5.58,29,169.429713
4.57,22,169.502968
-6.455,73,169.747359
-5.435,22,169.824112
-6.395,70,170.053879
4.44,28,170.144161
-5.36,18,170.203946
-5.455,23,170.285337
4.865,7,170.310526
-5.49,25,170.39478
4.625,19,170.45927
-6.49,75,170.700798
-5.505,26,170.784446
-5.455,23,170.857253
-5.485,25,170.944606
4.58,21,171.019062
-5.385,20,171.082604
4.175,42,171.225714
4.255,38,171.351886
-5.455,23,171.42892
-5.405,21,171.508043
3.59,71,171.743454
-5.24,12,171.783488
-5.465,24,171.863764
-5.48,24,171.942408
-6.47,74,172.192965
-5.72,36,172.315249
-5.46,23,172.388799
3.505,75,172.637139
-5.465,24,172.714841
3.375,82,175.40192
-5.57,29,175.499589
3.785,61,175.69813
-5.57,29,175.79129
-5.465,24,175.869646
-5.46,23,175.942848
4.31,35,176.060958
-6.275,64,176.263008
-5.33,17,176.329555
4.875,7,176.353071
-5.17,9,176.382006
-5.48,24,176.458549
-6.385,70,176.695132
4.33,34,176.805733
-6.355,68,177.031864
3.91,55,177.206095
-6.225,62,177.428658
4.17,42,177.563113
-6.175,59,177.754007
4.595,21,177.820506
4.285,36,177.934281
-5.48,24,178.011336
-6.24,62,178.215865
-5.415,21,178.292266
4.615,20,178.35486
-1.09,55,178.528998
-5.44,22,178.599227
-5.28,14,178.645634
-6.09,55,178.829723
-5.335,17,178.893072
-5.965,49,179.06377
-5.91,46,179.217401
-5.275,14,179.263515
3.525,74,179.505979
-5.5,25,179.585209
4.36,32,179.69093
4.5,25,179.771379
4.02,49,179.929412
4.56,22,180.0003
-5.52,26,180.086965
4.385,31,180.193232
4.875,7,180.214771
-5.24,12,180.253774
-6.385,70,180.50161
-5.49,25,180.590255
-5.385,20,180.66479
4.355,33,180.781194
-5.37,19,180.850537
4.625,19,180.925619
3.805,60,181.15025
-1.49,75,181.409538
4.58,21,181.477319
-5.535,27,181.567008
-5.4,20,181.629193
-5.16,8,181.655552
-5.175,9,181.685161
4.585,21,181.750488
-5.775,39,181.875351
